,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
0,4,Albacora,oil and gas,field,Brazil,-22.131,-39.961,Offshore,"https://www.gem.wiki/Albacora_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,250.0,Offshore fixed platform production,True,13.0,13.0,0.5355161492356466,13.0
1,17,Araçás,oil and gas,field,Brazil,-12.137,-38.171,Onshore,"https://www.gem.wiki/Araçás_Oil_and_Gas_Field_(Bahia,_Brazil)",2016-01,2026-02,100.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,13.0,13.0,0.9126537408629857,13.0
2,19,Atapu,oil and gas,field,Brazil,-24.952,-42.469,Offshore,"https://www.gem.wiki/Atapu_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2020-06,2026-02,160.0,Offshore FPSO-based production,True,5.0,5.0,0.04524580475128932,15.0
3,26,Bagre,oil and gas,field,Brazil,-22.413,-40.474,Offshore,"https://www.gem.wiki/Bagre_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,10.0,Offshore fixed platform production,True,13.0,13.0,2.2514887432649378,13.0
4,29,Barracuda,oil and gas,field,Brazil,-22.564,-40.241,Offshore,"https://www.gem.wiki/Barracuda_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,100.0,Offshore FPSO-based production,True,13.0,13.0,2.4404077582305224,13.0
5,31,Benfica,oil and gas,field,Brazil,-5.022,-37.051,Onshore,"https://www.gem.wiki/Benfica_Oil_and_Gas_Field_(Rio_Grande_do_Norte,_Brazil)",2016-01,2026-02,10.0,Onshore conventional vertical drilling,True,7.0,7.0,0.902576116451035,7.0
6,33,Bicudo,oil and gas,field,Brazil,-22.759,-40.707,Offshore,"https://www.gem.wiki/Bicudo_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,100.0,Offshore FPSO-based production,True,5.0,5.0,2.3744718978634327,5.0
7,36,Boa Vista,oil and gas,field,Brazil,-5.02,-37.025,Onshore,"https://www.gem.wiki/Boa_Vista_Oil_and_Gas_Field_(Rio_Grande_do_Norte,_Brazil)",2016-01,2026-02,1.2,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,7.0,7.0,1.8922294017195518,7.0
8,40,Buzios,oil and gas,field,Brazil,-24.657,-42.498,Offshore,"https://www.gem.wiki/Buzios_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2018-04,2026-02,850.0,Offshore FPSO-based production,True,7.0,7.0,1.8446704108840013,7.0
9,42,Camarupim,oil and gas,field,Brazil,-19.935,-39.62,Offshore,"https://www.gem.wiki/Camarupim_Oil_and_Gas_Field_(Espírito_Santo,_Brazil)",2016-01,2026-02,,Offshore FPSO-based production,True,5.0,5.0,2.275170401533957,5.0
10,46,Caratinga,oil and gas,field,Brazil,-22.671,-40.245,Offshore,"https://www.gem.wiki/Caratinga_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,100.0,Offshore FPSO-based production,True,13.0,13.0,0.8715711384912959,13.0
11,52,Frade,oil and gas,field,Brazil,-21.9,-39.858,Offshore,"https://www.gem.wiki/Frade_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,152.6,Offshore FPSO-based production,True,7.0,7.0,1.8709744227142504,7.0
