,Unnamed: 0,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
14,14,57,Jubarte,oil and gas,field,Brazil,-21.321,-40.023,Offshore,"https://www.gem.wiki/Jubarte_Oil_and_Gas_Field_(Espírito_Santo,_Brazil)",2016-01,2026-02,100.0,Offshore FPSO-based production,True,5.0,5.0,1.1645839547328585,5.0
17,17,63,Marlim,oil and gas,field,Brazil,-22.424,-40.071,Offshore,"https://www.gem.wiki/Marlim_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,130.0,Offshore FPSO-based production,True,11.0,11.0,1.3261137523505615,11.0
25,25,79,Pilar,oil and gas,field,Brazil,-9.607,-35.894,Onshore,"https://www.gem.wiki/Pilar_Oil_and_Gas_Field_(Alagoas,_Brazil)",2016-01,2026-02,10.0,,True,11.0,11.0,1.1671217931622324,11.0
26,26,83,Rio Urucu,oil and gas,field,Brazil,-4.864,-65.287,Onshore,"https://www.gem.wiki/Rio_Urucu_Oil_and_Gas_Field_(Amazonas,_Brazil)",2016-01,2026-02,,Onshore conventional vertical drilling,True,13.0,13.0,0.8393543682498268,13.0
28,28,96,Tubarão Martelo,oil and gas,field,Brazil,-23.121,-41.085,Offshore,"https://www.gem.wiki/Tubarão_Martelo_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)",2016-01,2026-02,100.0,Offshore FPSO-based production,True,12.0,16.0,0.8929423518075938,18.0
33,33,173,Tamar,oil and gas,field,Israel,32.9862,34.003,Offshore,https://www.gem.wiki/Tamar_Oil_and_Gas_Field_(Israel),2016-01,2026-02,,,True,1.0,2.0,0.1722923110693353,2.0
34,34,191,Gela,oil and gas,complex,Italy,37.032,14.26955,Offshore,https://www.gem.wiki/Gela_Oil_and_Gas_Complex_(Italy),2016-01,2026-02,2.0,"Enhanced oil recovery (water, gas, or CO₂ injection)",True,1.0,1.0,1.929578302503838,1.0
35,35,227,F02a-Hanze,oil and gas,field,Netherlands,54.939,4.563,Offshore,https://www.gem.wiki/F02a-Hanze_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,,Offshore fixed platform production,True,5.0,5.0,0.8164671191431562,5.0
36,36,228,F03-FB,oil and gas,field,Netherlands,54.856,4.684,Offshore,https://www.gem.wiki/F03-FB_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,,Offshore fixed platform production,True,13.0,14.0,0.6679983886354774,14.0
37,37,267,Kollum-Noord,oil and gas,field,Netherlands,53.31,6.17,Onshore,https://www.gem.wiki/Kollum-Noord_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,,Onshore directional drilling,True,5.0,5.0,0.2083668270543161,5.0
38,38,307,L11b-A,oil and gas,field,Netherlands,53.471,4.491,Offshore,https://www.gem.wiki/L11b-A_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,,Offshore fixed platform production,True,4.0,4.0,0.1898074801544663,4.0
39,39,315,L13-FI,oil and gas,field,Netherlands,53.244,4.101,Offshore,https://www.gem.wiki/L13-FI_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,,Offshore fixed platform production,True,1.0,1.0,1.2814539474250473,1.0
40,40,341,P10a-De Ruyter Western Extension,oil and gas,field,Netherlands,52.368,3.318,Offshore,https://www.gem.wiki/P10a-De_Ruyter_Western_Extension_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,,Offshore fixed platform production,True,10.0,10.0,1.7747142625169778,11.0
41,41,344,P11b-De Ruyter,oil and gas,field,Netherlands,52.369,3.347,Offshore,https://www.gem.wiki/P11b-De_Ruyter_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,,Offshore fixed platform production,True,11.0,11.0,1.1495073900171175,11.0
43,43,354,Q10-A,oil and gas,field,Netherlands,52.487,4.237,Offshore,https://www.gem.wiki/Q10-A_Oil_and_Gas_Field_(Netherlands),2016-01,2026-02,100.0,Offshore fixed platform production,True,5.0,5.0,2.1012982857671507,5.0
44,44,381,Martin Linge,oil and gas,field,Norway,60.5065,2.042,Offshore,https://www.gem.wiki/Martin_Linge_Oil_and_Gas_Field_(Norway),2021-01,2031-01,,Offshore fixed platform production,True,3.0,3.0,1.5395042481317287,8.0
45,45,386,Yme,oil and gas,field,Norway,57.8295,4.527,Offshore,https://www.gem.wiki/Yme_Oil_and_Gas_Field_(Norway),2016-01,2026-02,100.0,Offshore mobile rig production (jack-up / semi-submersible),True,4.0,5.0,1.2709627130510872,5.0
